date,Arizona,Utah
2018-04-08,47.0,43.5
2018-04-09,77.0,46.0
2018-04-10,67.0,40.0
2018-04-11,77.0,46.0
2018-04-12,117.0,49.0
2018-04-13,51.0,43.0
2018-04-14,61.0,49.0
2018-04-15,71.0,44.0
2018-04-16,49.0,71.0
2018-04-17,90.0,43.5
2018-04-18,93.0,44.0
2018-04-19,67.0,71.0
2018-04-20,61.0,47.0
2018-04-21,87.0,58.0
2018-04-22,84.0,50.0
2018-04-23,112.0,50.0
2018-04-24,108.0,54.0
2018-04-25,108.0,61.0
2018-04-26,93.0,87.0
2018-04-27,93.0,64.0
2018-04-28,67.0,58.0
2018-04-29,64.0,48.0
2018-04-30,54.0,42.5
2018-05-01,59.0,45.0
2018-05-02,64.0,36.0
2018-05-03,87.0,46.0
2018-05-04,71.0,54.0
2018-05-05,93.0,50.0
2018-05-06,74.0,64.0
2018-05-07,119.0,80.0
2018-05-08,93.0,84.0
2018-05-09,112.0,71.0
2018-05-10,50.0,45.0
2018-05-11,131.0,39.0
2018-05-12,67.0,48.0
2018-05-13,49.0,51.0
2018-05-14,49.0,45.0
2018-05-15,50.0,51.0
2018-05-16,64.0,61.0
2018-05-17,61.0,51.0
2018-05-18,84.0,61.0
2018-05-19,93.0,64.0
2018-05-20,67.0,58.0
2018-05-21,64.0,61.0
2018-05-22,54.0,48.0
2018-05-23,64.0,47.0
2018-05-24,51.0,58.0
2018-05-25,47.0,61.0
2018-05-26,67.0,61.0
2018-05-27,64.0,52.0
2018-05-28,90.0,50.0
2018-05-29,101.0,51.0
2018-05-30,51.0,47.0
2018-05-31,52.0,45.0
2018-06-01,101.0,54.0
2018-06-02,108.0,84.0
2018-06-03,108.0,84.0
2018-06-04,100.0,58.0
2018-06-05,53.0,61.0
2018-06-06,67.0,50.0
2018-06-07,87.0,46.0
2018-06-08,84.0,80.0
2018-06-09,50.0,54.0
2018-06-10,61.0,49.0
2018-06-11,77.0,74.0
2018-06-12,80.0,97.0
2018-06-13,77.0,54.0
2018-06-14,51.0,47.0
2018-06-15,45.0,52.0
2018-06-16,40.0,50.0
2018-06-17,44.0,42.5
2018-06-18,58.0,74.0
2018-06-19,93.0,49.0
2018-06-20,126.0,45.0
2018-06-21,93.0,54.0
2018-06-22,84.0,64.0
2018-06-23,87.0,64.0
2018-06-24,47.0,67.0
2018-06-25,101.0,84.0
2018-06-26,87.0,84.0
2018-06-27,90.0,74.0
2018-06-28,90.0,93.0
2018-06-29,50.0,47.0
2018-06-30,58.0,54.0
2018-07-01,64.0,49.0
2018-07-02,87.0,46.0
2018-07-03,40.0,67.0
2018-07-04,48.0,101.0
2018-07-05,84.0,78.5
2018-07-06,49.0,75.0
2018-07-07,67.0,61.0
2018-07-08,240.0,64.0
2018-07-09,141.0,74.0
2018-07-10,74.0,87.0
2018-07-11,90.0,97.0
2018-07-12,87.0,105.0
2018-07-13,87.0,119.0
2018-07-14,51.0,80.0
2018-07-15,49.0,90.0
2018-07-16,126.0,108.0
2018-07-17,122.0,93.0
2018-07-18,97.0,119.0
2018-07-19,84.0,87.0
2018-07-20,101.0,58.0
2018-07-21,87.0,74.0
2018-07-22,93.0,74.0
2018-07-23,108.0,108.0
2018-07-24,105.0,101.0
2018-07-25,90.0,112.0
2018-07-26,93.0,108.0
2018-07-27,97.0,93.0
