T_degC,Salnty,O2ml_L
6.53,34.281,0.48
9.13,33.92,
6.2,,0.65
16.6,33.69,5.78
7.49,34.215,1.02
10.02,33.42,4.98
9.48,33.98,2.56
16.71,33.713,5.74
10.37,34.015,2.38
18.23,34.966,1.8
8.89,33.9,2.61
9.9,33.72,
19.05,33.703,5.5
6.88,34.23,0.76
12.0,33.66,3.41
5.74,34.4,0.33
1.78,34.649,2.24
6.93,34.33,
27.97,34.876,4.53
10.95,33.636,4.39
9.24,,2.41
6.44,34.261,
10.07,34.6,
13.19,33.138000000000005,6.24
6.75,34.295,
12.6,33.509,5.43
12.4,33.417,4.95
8.22,34.028,2.52
17.17,33.624,5.67
5.97,34.373000000000005,0.48
13.17,33.873000000000005,3.73
15.03,33.41,
4.28,34.456,0.57
11.65,33.776,4.43
14.408,33.4848,5.944
16.15,33.497,
17.49,33.271,5.6
9.86,33.75,3.33
10.89,33.436,3.92
10.46,34.48,0.78
29.14,36.33,4.69
4.88,34.158,0.77
7.62,34.144,1.58
20.9,33.341,5.46
14.22,35.01,1.96
6.97,34.183,0.98
9.5,33.94,
8.08,33.897,2.86
25.46,35.38,4.85
18.8,33.417,5.42
7.07,34.25,0.71
6.44,34.333,0.35
5.78,34.087,1.52
9.77,34.131,2.3
11.03,33.599000000000004,4.15
9.47,34.143,1.95
12.62,33.37,5.34
12.148,33.2488,5.473
18.906,33.445,5.419
13.22,33.55,5.06
8.24,34.18,1.55
1.57,34.681999999999995,3.08
11.17,33.508,4.89
7.72,34.261,0.79
5.56,,
7.5,34.201,1.01
9.19,34.088,2.28
7.14,34.36,
18.17,33.64,5.33
7.8,34.22,1.57
14.33,33.32,5.9
9.58,33.985,2.49
16.66,33.753,
14.11,33.092,6.0
5.09,34.161,0.6
13.62,33.586,5.57
11.67,33.123000000000005,5.62
6.5,34.146,1.39
15.78,33.19,5.68
7.9,34.015,2.91
9.0,33.717,3.65
9.3,33.795,3.47
6.67,34.22,
13.17,33.301,5.66
9.98,34.16,2.26
6.98,34.144,1.15
6.59,34.01,
7.81,34.09,2.04
7.74,34.426,0.32
6.14,34.09,1.24
17.39,33.09,4.34
16.16,32.967,5.77
9.94,34.49,
11.14,34.87,
12.93,32.663000000000004,
6.13,34.181999999999995,0.75
12.68,33.33,
8.33,34.189,1.34
10.22,34.12,
6.22,34.297,0.33
14.43,33.552,5.99
5.84,34.33,0.4
18.19,33.75,
6.37,33.98,2.11
12.92,33.6405,4.883
10.3,33.338,
10.88,33.629,3.78
5.31,34.277,0.51
14.26,33.744,3.63
9.56,33.86,
6.42,34.02,
5.78,34.468,0.28
17.49,33.379,5.59
7.83,33.972,2.82
12.15,32.551,
11.23,33.48,
9.76,33.68,4.44
15.34,33.516,5.77
12.36,34.58,0.42
13.48,33.536,5.14
10.58,34.251999999999995,1.57
12.96,32.071,6.33
8.96,34.038000000000004,2.52
16.44,32.979,5.84
8.77,33.974000000000004,2.86
11.13,33.738,3.37
18.17,,
16.18,33.441,5.9
7.16,34.093,1.32
8.92,33.83,2.93
10.27,33.789,3.21
16.52,33.23,5.61
9.98,33.267,4.72
10.04,33.698,3.64
20.28,34.212,5.23
13.01,33.404,5.83
13.39,33.354,6.12
16.2,33.912,5.79
19.2,33.296,5.45
5.13,34.142,0.91
9.39,33.685,3.74
10.82,33.71,
19.18,33.81,
8.72,34.128,1.78
10.74,33.948,2.33
17.393,33.5866,
11.68,33.001,5.7
11.8,34.62,0.35
7.832000000000001,34.0296,2.169
8.94,33.84,
4.79,34.481,0.35
14.86,,5.46
5.72,34.475,0.32
6.482,34.2969,0.345
8.91,34.218,1.2
13.58,32.701,6.13
8.31,34.236,1.34
13.084,33.2748,6.047000000000001
16.91,,5.31
12.06,33.441,4.8
21.37,,3.17
16.1,33.665,5.55
16.95,33.699,5.96
10.56,33.429,5.78
9.2,33.964,2.5
11.32,33.631,4.29
9.12,33.898,3.0
10.54,33.55,4.04
4.02,34.406,0.44
9.6,33.519,
3.42,34.51,0.93
5.82,34.165,0.64
8.63,34.329,1.16
19.39,34.731,4.23
8.14,33.977,3.8
9.69,33.785,3.45
10.34,34.3,
7.84,34.014,2.5
7.76,34.125,1.83
5.58,34.364000000000004,0.29
5.98,34.269,0.38
11.04,33.12,4.81
5.84,,0.75
12.73,33.282,5.37
6.6,34.302,0.5
7.39,34.16,
1.8,34.61,1.98
9.72,34.041,5.35
8.52,34.019,2.8
9.83,33.993,2.07
7.25,34.03,
6.94,,
16.61,34.289,5.75
8.45,34.003,2.82
7.88,,3.06
13.42,33.47,5.95
10.34,33.796,3.3
11.64,33.17,
7.05,34.143,1.68
11.063,33.5806,3.463
13.04,,4.77
5.54,34.192,0.52
16.05,33.881,5.56
15.67,33.687,6.03
9.29,33.736,3.23
9.35,33.861,3.39
7.84,33.991,3.07
7.14,34.04,1.83
17.87,33.715,5.54
10.62,34.017,2.21
8.57,34.149,2.21
8.6,34.15,1.76
16.04,33.07,5.83
8.8,34.033,2.0
17.8,33.66,5.5
10.41,33.926,3.07
8.66,33.924,3.36
8.65,34.001999999999995,2.49
16.62,33.483000000000004,5.66
3.46,34.52,0.85
5.59,34.412,0.31
10.58,33.58,
18.7,33.6,
11.24,33.067,
17.09,32.74,5.8
3.83,34.539,0.63
7.73,34.084,2.12
4.09,34.543,0.51
5.64,,0.3
10.92,33.375,5.89
16.52,33.68,5.6
18.4,,
11.48,33.607,4.4
20.06,33.74,
18.28,33.52,5.56
8.232999999999999,34.0553,2.084
13.68,33.363,6.89
11.62,33.375,4.78
10.0,33.78,
5.27,34.126999999999995,0.77
15.7,33.524,5.53
13.68,33.19,6.14
6.16,34.07,1.22
15.44,33.163000000000004,6.03
14.027,33.5107,5.763999999999999
11.02,33.206,5.02
8.64,34.39,0.64
8.54,34.16,
6.69,34.426,0.23
12.643,33.5142,5.19
17.29,33.52,5.61
6.4,34.13,
11.07,33.537,5.81
10.33,33.586,4.05
10.42,34.08,
13.42,33.292,6.76
10.58,33.561,3.25
9.75,33.629,3.57
6.73,34.232,0.7
13.72,33.259,6.35
13.71,33.184,5.85
7.04,34.145,1.12
11.32,33.924,2.71
13.63,33.717,5.56
6.64,,
6.11,34.13,
8.31,34.101,
5.62,34.15,0.71
13.87,33.42,5.62
4.78,34.18,0.55
5.99,34.074,1.22
17.61,33.68,
9.72,33.73,2.42
8.19,34.18,
13.13,33.58,5.57
7.3,33.87,4.08
8.24,34.381,
14.79,33.428000000000004,5.84
10.05,33.535,
12.0,33.577,4.01
16.35,33.289,5.74
15.0,33.587,
6.91,34.305,
10.85,33.661,3.66
9.1,33.82,3.15
15.74,33.061,5.83
16.6,33.486,5.72
16.27,33.572,5.34
9.22,33.861,2.9
14.513,33.3473,
9.09,33.87,3.72
8.69,33.981,2.7
5.14,34.354,0.33
8.83,33.53,
9.66,34.36,0.83
14.05,33.53,5.55
9.33,34.059,1.96
8.58,,2.26
7.91,34.075,2.1
9.51,33.927,2.89
10.43,33.157,4.9
9.07,33.998000000000005,2.51
6.22,34.13,
3.44,34.47,0.9
9.32,33.695,3.45
13.593,33.6354,6.437
19.61,33.77,5.56
14.05,33.33,5.87
5.45,34.376,0.15
8.276,33.9961,2.399
20.64,35.12,
16.57,35.165,1.92
13.35,33.306999999999995,5.91
6.15,34.431,0.29
7.89,34.131,1.82
21.85,34.729,4.48
13.8,33.306999999999995,5.8
13.76,33.15,5.82
9.89,33.732,3.29
10.35,33.744,3.35
14.06,33.463,5.99
17.03,33.699,
14.24,33.661,
6.12,34.193000000000005,0.94
16.352,33.2511,5.61
9.35,33.977,2.52
9.949,33.5852,3.4210000000000003
8.12,34.066,1.82
15.99,33.718,5.61
8.34,34.091,2.21
12.56,33.22,5.47
4.42,34.37,
15.82,33.578,5.97
15.6,33.59,5.61
11.34,33.02,
9.18,33.912,3.04
10.72,33.621,3.82
7.58,34.024,2.64
8.12,33.95,2.66
5.65,34.189,0.59
12.58,32.943000000000005,5.88
12.66,33.434,6.08
14.755999999999998,33.2536,5.882999999999999
7.15,33.03,
13.86,33.31,
17.97,34.7,
14.77,33.561,5.51
10.992,33.6211,4.311
13.94,33.148,6.0
9.62,34.03,2.39
5.49,34.42,
6.42,34.158,1.0
15.26,33.592,5.96
16.73,33.578,5.78
8.22,34.209,1.12
15.67,33.394,5.97
11.06,33.62,
7.26,34.131,1.54
5.48,,0.41
9.84,33.5,3.5
9.36,34.495,0.39
6.89,33.95,
5.67,34.188,0.58
6.85,34.109,1.5
11.74,32.777,6.04
4.28,34.455,0.49
10.0,34.48,0.64
10.47,33.818000000000005,3.28
6.7,34.29,0.62
12.77,33.55,4.88
10.85,34.72,0.13
6.9,34.18,1.15
9.57,33.8,3.38
14.22,33.148,5.89
16.65,33.419000000000004,5.68
9.31,33.927,2.72
3.8,34.486,0.7
15.08,33.11,6.23
8.7,33.978,2.94
9.05,33.874,3.21
15.66,33.77,5.75
12.66,33.4,6.16
15.74,33.288000000000004,5.77
8.08,33.921,3.32
8.83,33.71,3.26
13.02,34.06,2.65
6.52,34.225,0.73
15.99,34.232,5.33
6.6,33.979,2.55
5.54,34.23,
13.69,33.4,5.65
5.67,34.151,0.94
9.35,33.77,3.36
14.157,33.5843,5.792000000000001
13.66,33.48,5.43
12.22,33.801,3.67
18.06,33.49,5.48
6.44,34.32,0.4
12.04,33.42,
9.37,,1.68
8.16,34.18,1.23
12.78,33.632,5.25
12.6,33.39,5.38
6.44,34.31,
8.31,34.037,2.49
12.1,33.316,5.34
17.33,33.816,5.44
6.34,34.303000000000004,0.5
7.57,33.24,4.5
18.45,33.774,5.54
10.95,33.572,4.33
3.83,34.49,
8.14,34.093,2.16
15.06,33.28,5.96
8.82,33.872,
14.366,33.092,5.867000000000001
1.8,34.69,2.2
10.0,34.639,0.11
5.569,34.1841,0.487
7.35,34.175,0.95
13.85,33.456,5.85
14.09,33.387,5.39
4.05,34.48,0.56
9.76,33.492,3.94
11.05,34.39,
14.34,33.556999999999995,
9.4,33.93,2.53
14.08,33.382,6.35
12.16,33.25,
15.97,33.431999999999995,5.93
10.26,34.33,
10.83,34.56,
12.53,32.578,
11.68,33.303000000000004,5.11
15.35,33.11,5.82
12.17,33.303000000000004,4.88
8.63,34.643,0.12
13.55,,5.64
8.58,34.04,2.33
9.9,34.22,2.22
9.42,33.966,
11.59,33.43,
12.43,33.462,5.39
19.744,33.3047,5.327000000000001
11.31,33.524,4.31
20.22,34.86,5.08
10.87,33.06,5.91
3.94,34.405,1.1
9.453,33.5243,3.818
19.14,33.343,
19.97,34.289,5.34
10.82,33.96,2.95
8.05,34.322,
4.63,34.19,
11.77,32.53,
11.64,33.52,4.83
4.17,34.51,
11.93,33.416,5.83
6.81,34.299,0.5
17.72,33.77,5.61
9.82,33.9,2.95
10.74,32.892,5.52
7.04,34.43,
8.34,34.23,
11.2,33.69,4.1
9.035,33.8971,2.8710000000000004
12.45,33.463,5.9
3.74,34.205,0.67
9.66,34.4,0.91
15.31,33.14,5.93
19.53,33.22,5.33
9.138,33.6623,3.751
7.997999999999999,34.2132,0.971
17.85,32.917,5.5
6.89,34.101,1.92
4.77,34.441,0.37
15.91,33.485,5.67
13.29,33.47,
18.82,33.506,5.6
17.39,33.595,5.76
7.88,34.046,2.31
10.06,33.722,3.58
13.73,33.516,5.23
9.72,33.9,3.36
9.47,33.805,
3.28,34.54,0.77
16.28,33.84,5.68
18.33,33.431,5.28
7.75,34.021,3.02
14.35,33.492,7.08
23.02,34.25,
16.17,34.15,5.38
6.39,34.34,0.38
11.91,33.571,4.27
6.76,33.94,2.04
5.86,34.077,
10.69,33.55,
6.28,34.198,0.66
18.23,33.765,5.91
18.17,33.875,5.49
15.63,33.573,5.53
8.76,33.99,2.17
6.6,34.232,0.61
13.19,33.14,6.09
11.05,34.04,4.07
6.48,34.263000000000005,0.54
10.66,,
12.86,33.368,5.45
1.79,34.695,2.57
16.59,33.86,
4.8,34.385,0.26
12.717,33.3631,4.898
10.96,33.69,3.84
6.79,34.143,1.03
15.45,33.527,5.81
9.33,33.929,2.76
11.17,33.262,5.44
7.86,34.042,2.41
9.25,33.87,2.84
8.91,34.204,1.55
11.03,33.321,4.97
7.62,34.01,
12.94,33.025,6.08
21.3,33.759,4.99
6.85,34.532,
22.19,34.571,4.93
8.48,34.006,2.73
14.8,33.569,5.49
9.02,33.799,2.76
14.84,33.199,5.92
29.53,34.821,4.46
7.18,34.38,
7.35,34.211,0.95
5.95,34.332,0.36
13.18,33.528,4.91
9.92,33.73,3.59
8.9,33.94,2.76
15.93,33.418,5.82
9.19,33.942,2.4
7.256,34.2147,0.473
10.544,33.6057,3.305
13.79,33.564,6.15
19.37,33.448,5.35
6.38,34.24,
4.32,34.406,0.29
5.01,34.48,
13.84,33.537,5.54
17.84,33.9,5.67
6.255,34.312,0.3
5.18,34.224000000000004,0.45
7.93,34.18,1.45
7.5,34.084,2.06
13.61,33.62,5.35
11.83,32.97,
13.81,33.572,6.05
4.6,34.41,
9.15,33.839,2.98
9.27,33.983000000000004,3.22
16.94,33.87,4.62
3.98,,0.64
15.61,33.65,5.57
6.0,34.281,0.33
9.03,33.911,
11.95,33.483000000000004,4.93
7.34,34.037,2.55
11.9,34.54,
21.97,35.184,3.28
24.08,34.56,
10.79,33.3,5.56
15.28,33.67,
3.61,34.476,
15.52,33.235,5.79
9.04,33.8,4.6
15.87,33.196,6.02
8.2,34.287,0.84
15.31,33.272,5.86
8.91,34.12,2.52
11.25,33.579,3.99
11.71,34.539,
9.88,33.687,
3.72,34.471,0.51
11.16,33.794000000000004,3.95
20.94,35.055,3.04
15.17,33.489000000000004,5.82
5.8,34.39,0.47
6.4,34.38,0.46
6.24,34.29,
10.85,34.29,
8.27,34.036,2.43
7.9,33.998000000000005,3.18
15.029000000000002,33.4263,5.897
16.87,33.087,5.76
16.07,33.6896,5.68
5.03,34.203,0.45
8.42,34.195,1.63
4.11,34.46,
10.93,33.65,
15.7,33.733000000000004,5.49
17.67,,
16.95,33.054,5.65
4.36,,0.7
15.98,33.452,5.7
3.72,34.496,0.83
10.76,33.07,5.68
16.56,34.873000000000005,1.47
6.09,34.091,1.21
4.74,34.45,0.5
7.86,33.68,2.51
11.96,32.772,6.48
8.13,34.206,1.41
19.16,33.501999999999995,5.37
15.25,33.68,
4.04,34.429,0.72
12.11,32.476,5.35
9.23,34.31,1.13
17.4,34.171,4.66
8.33,34.005,2.62
12.54,,
14.22,33.5,5.46
1.92,34.63,2.17
7.57,34.07,1.7
12.69,33.525,5.14
5.73,34.49,
9.79,33.269,4.3
7.29,34.2,0.84
10.58,34.704,0.12
10.77,33.42,5.25
5.07,,
18.765,33.524,
7.122000000000001,34.1284,1.12
7.23,34.026,2.42
9.94,33.706,3.56
5.19,34.424,0.63
9.89,33.616,4.14
8.58,33.98,3.31
11.22,34.01,
8.33,34.238,1.13
12.81,33.593,5.0
8.44,34.12,2.08
19.03,34.05,5.43
15.347,33.4929,
7.03,34.21,
6.7,34.181999999999995,1.01
12.96,33.48,4.65
3.8,34.27,0.32
9.14,34.251,1.37
16.48,33.038000000000004,5.87
8.293,33.9811,2.653
9.281,33.9812,2.289
10.39,33.234,4.84
12.28,33.341,4.23
13.1,33.458,4.83
6.77,34.428000000000004,0.28
6.5,34.151,0.99
13.59,33.459,5.43
21.55,33.74,5.34
9.52,33.696,4.15
8.88,34.154,1.86
7.09,34.161,1.16
11.06,33.48,4.17
10.1,33.68,3.79
11.79,33.367,6.23
1.51,34.655,3.1
6.15,34.536,0.09
11.64,33.49,4.77
16.18,33.334,
4.17,,0.48
12.8,,
15.803,33.3799,5.706
14.11,33.613,5.68
5.96,34.04,1.43
7.65,34.051,2.05
7.57,34.382,0.64
7.352,34.1396,1.079
10.61,33.727,4.05
3.12,34.607,0.64
12.25,34.798,
3.78,34.453,0.5
6.84,34.09,
9.84,33.548,4.28
3.67,34.25,0.38
14.18,33.506,
9.19,33.894,2.6
18.3,33.689,5.45
14.8,32.954,
9.07,33.972,2.5
6.29,34.111999999999995,1.08
13.73,32.79,
2.66,34.603,1.61
11.64,32.52,
7.9,34.235,1.13
11.04,34.229,
9.44,34.109,2.26
12.02,33.466,4.2
13.629,28.3652,7.591
7.957000000000001,34.0539,2.0540000000000003
12.41,33.185,5.46
19.22,33.635,5.47
18.26,32.721,5.56
10.9,34.436,0.87
19.16,34.048,5.4
7.02,34.06,
6.88,34.248000000000005,0.28
6.18,34.28,
9.373,34.11,1.948
6.41,34.189,1.0
8.21,34.06,2.32
11.59,33.57,5.29
2.31,34.642,1.64
10.09,33.846,3.19
18.88,34.08,5.7
8.922,34.0791,1.92
16.05,33.22,
17.62,33.507,5.66
13.18,33.379,
8.05,33.78,3.2
10.53,33.6,4.36
10.8,33.516,5.69
18.29,34.111,5.49
17.58,33.493,
10.06,34.436,0.71
20.74,33.78,5.25
9.29,34.05,
7.57,34.184,1.23
8.66,33.976,2.89
14.24,33.288000000000004,5.69
6.78,34.094,
8.19,34.008,3.0
10.85,33.169000000000004,
8.98,34.023,2.59
8.4,34.236,1.26
14.74,33.351,6.01
8.79,34.035,2.2
11.507,33.434,4.306
15.32,33.131,5.85
5.76,34.306,0.39
9.36,33.73,
9.85,33.772,2.67
8.88,34.075,1.93
10.61,33.659,3.86
18.0,33.576,5.69
12.255999999999998,33.2869,4.995
5.83,34.295,0.29
3.32,34.58,
8.12,34.204,1.4
9.25,33.61,3.74
7.8,34.068000000000005,
16.1,33.881,5.54
9.62,34.005,2.53
12.78,33.376999999999995,6.24
16.6,33.79,
20.84,34.662,5.3
10.7,34.398,1.08
8.2,33.858000000000004,2.92
3.01,34.567,1.2
15.82,33.71,5.8
6.68,34.318000000000005,0.52
11.3,33.47,
8.67,33.92,
8.0,33.992,3.4
3.9,34.34,
12.43,32.96,
13.07,,0.37
14.06,33.566,6.24
12.37,33.501,6.21
7.57,34.192,1.22
6.84,34.28,0.7
6.76,,0.95
13.77,33.588,5.75
9.97,33.71,
13.74,33.413000000000004,5.63
7.48,34.197,1.29
8.59,33.971,3.24
9.97,33.738,3.58
10.88,33.485,
7.874,34.1881,1.072
17.77,33.277,6.01
17.62,32.899,5.55
4.08,34.55,
11.31,33.606,5.08
5.3,34.333,0.31
4.26,,
15.43,33.77,4.78
13.17,33.62,5.91
8.51,34.02,2.51
8.44,33.874,
16.739,33.4814,5.653
9.14,32.88,5.13
9.25,34.2,
7.86,34.18,1.86
4.97,34.554,0.3
9.24,34.259,1.27
14.06,33.21,5.74
9.835,33.7001,3.358
16.87,33.866,5.4
8.17,34.061,
9.15,34.368,0.8
18.43,33.606,5.27
7.15,34.045,1.98
7.86,34.06,1.81
3.94,34.48,
9.64,33.782,3.21
6.47,34.2,0.9
4.57,34.51,
9.95,32.875,4.71
18.38,33.38,5.71
16.37,33.356,5.72
4.52,,0.47
6.58,34.152,1.28
13.16,34.51,0.61
5.85,34.486999999999995,0.18
5.53,34.477,0.34
19.43,33.349000000000004,5.4
5.07,34.363,0.35
20.9,34.66,4.83
8.01,34.111,1.2
14.14,34.049,2.94
11.9,33.398,4.49
9.1,34.556999999999995,0.32
8.33,34.09,2.08
5.98,,1.64
14.63,33.717,5.72
12.94,33.733000000000004,4.35
7.52,34.287,0.69
9.24,33.894,
16.71,33.661,5.97
9.72,34.485,0.61
19.84,33.73,
10.16,33.3512,4.481
8.25,34.069,1.32
8.87,33.912,2.9
10.357,33.7645,3.142
12.56,33.366,5.05
14.08,33.58,5.22
10.63,33.085,5.1
10.6,34.67,
7.475,34.0159,2.04
15.63,33.215,5.8
9.604,33.939,2.852
1.94,34.63,1.76
12.23,33.55,5.43
10.77,34.412,
20.51,33.69,5.8
12.41,32.944,6.19
15.07,33.405,5.49
17.91,33.4,
9.82,33.545,4.29
20.06,34.559,5.21
11.52,33.393,4.76
19.79,33.564,5.37
9.18,33.96,
10.48,33.695,3.65
9.43,33.853,3.03
6.46,34.151,1.51
12.37,33.661,4.49
11.85,33.142,4.78
14.69,32.9,
12.58,33.382,6.2
9.47,33.713,3.6
6.83,34.467,
10.696,33.6116,3.4130000000000003
14.81,32.97,
7.15,34.191,1.12
1.54,34.691,3.18
10.22,33.572,4.04
6.01,34.326,0.59
14.57,33.062,5.82
14.29,33.369,5.87
7.11,34.08,1.75
10.2,,
6.48,34.235,0.61
16.73,33.35,5.79
6.78,34.309,0.6
8.56,34.426,0.45
6.06,34.305,
6.54,34.166,0.91
6.2,34.31,0.42
9.83,33.409,4.47
9.12,33.82,3.11
4.61,,0.39
7.66,34.351,
8.9,34.506,0.59
9.77,33.606,4.17
7.1,34.248000000000005,0.81
8.58,34.173,1.59
13.82,33.601,5.46
13.18,33.57,5.56
16.15,35.17,4.49
8.59,33.986999999999995,2.55
15.4,33.833,
17.42,33.96,6.0
17.02,33.28,5.98
14.72,33.32,5.87
2.48,34.606,1.39
19.83,33.67,5.37
15.02,33.57,5.86
15.0,33.21,
4.82,34.44,
20.36,33.713,5.99
14.95,33.53,5.58
13.3,33.375,6.05
12.14,33.703,4.4
6.41,34.215,0.59
9.35,34.072,1.81
11.33,,4.25
2.59,34.56,0.91
11.751,33.6617,4.581
4.05,,0.55
16.7,33.94,4.58
9.78,32.81,6.35
7.51,34.019,2.44
14.03,33.421,5.85
17.03,33.53,5.4
8.58,34.046,2.29
12.09,33.26,5.47
8.32,34.108000000000004,1.82
16.14,33.806999999999995,5.73
10.36,33.678000000000004,3.36
15.12,32.842,
7.81,34.09,2.59
5.83,34.154,0.86
14.87,33.209,5.95
12.83,33.489000000000004,4.88
9.03,34.556,0.38
17.1,33.43,5.93
9.2,34.192,1.94
9.68,33.84,3.27
8.69,33.998000000000005,2.67
15.08,33.53,
6.02,34.151,0.75
8.11,34.003,2.73
11.13,33.414,4.79
9.02,33.935,2.63
11.69,33.634,5.09
8.87,33.68,3.36
17.45,33.57,5.72
9.06,33.44,4.71
8.01,34.217,1.33
14.78,32.971,6.05
5.86,34.153,0.84
1.52,34.69,3.51
9.43,34.218,1.71
8.7,34.27,1.11
8.26,33.888000000000005,2.93
10.34,33.67,
11.91,33.637,3.84
13.56,33.214,6.14
6.04,34.339,0.26
6.01,34.175,0.76
7.43,34.119,1.67
13.04,32.698,
8.277999999999999,34.0021,2.323
14.28,33.372,5.97
8.31,33.772,3.79
7.36,34.116,1.69
3.17,34.591,
3.8,34.46,
15.17,33.55,5.65
15.01,33.722,
8.86,33.64,4.57
18.49,33.381,6.09
10.05,33.785,3.24
10.94,33.49,4.12
4.9,34.288000000000004,0.38
7.31,34.21,
18.79,33.61,5.53
13.56,33.54,
15.7,33.327,6.02
15.2,33.59,5.96
13.36,33.835,4.99
14.59,33.37,
5.85,34.25,0.46
6.29,34.229,
8.99,34.07,2.03
7.79,34.098,1.47
11.7,32.964,5.72
4.84,,0.39
14.475,33.2463,
8.72,34.028,
17.36,,
15.977,33.4204,5.702000000000001
8.94,34.137,2.03
7.018,34.0535,1.636
13.5,33.087,
11.02,33.35,4.96
4.25,,0.53
16.48,33.35,6.32
4.29,,0.52
15.85,33.494,5.94
11.9,33.77,3.16
13.38,32.949,6.05
11.1,33.685,3.63
7.57,34.076,1.84
12.09,33.55,
20.31,33.698,5.3
9.82,33.802,3.28
7.17,34.1,2.05
17.32,33.278,5.63
7.33,34.038000000000004,2.22
15.32,32.99,4.78
14.17,33.346,5.97
14.84,32.39,5.45
6.27,34.163000000000004,0.88
15.823,33.1573,5.772
18.33,33.286,5.5
10.07,32.641,
6.39,34.078,
13.88,33.041,6.1
10.985,33.5776,3.686
6.25,34.417,0.2
6.48,34.156,0.92
10.84,33.87,2.43
15.59,,4.83
17.35,33.3,5.66
7.36,34.033,2.5
6.3,34.184,0.87
6.91,34.246,0.76
8.35,,3.01
14.41,33.399,5.95
10.231,33.4017,4.771
6.46,34.305,0.54
12.002,33.3425,4.267
17.74,33.62,5.69
10.18,33.674,3.39
9.34,34.386,
13.5,,4.85
7.53,34.028,2.37
11.117,33.4082,4.465
14.37,33.597,5.78
11.06,32.813,6.5
14.89,,6.49
19.2,33.91,
13.16,33.01,6.09
12.52,33.652,6.47
9.63,33.945,2.39
3.58,34.36,
3.24,34.56,0.92
13.99,33.48,6.14
3.2,34.608000000000004,0.99
9.91,34.2,
7.7,34.05,2.4
5.03,34.551,0.37
13.78,33.049,6.01
17.68,33.157,5.63
7.44,33.96,3.12
7.44,34.11,
7.17,34.211,
8.67,33.172,5.22
6.98,34.25,
12.47,33.439,5.28
7.61,34.126999999999995,
6.66,34.24,1.09
14.43,33.342,5.94
14.28,33.199,6.1
1.51,34.686,
10.05,33.479,4.12
7.279,34.2577,0.631
5.28,34.09,
6.565,34.1714,0.742
4.36,34.51,
7.55,33.58,5.11
25.1,34.13,4.66
7.57,34.25,1.05
6.14,34.405,0.21
8.12,34.09,
3.53,34.58,0.99
7.13,34.067,
9.62,33.498000000000005,
13.42,32.86,5.74
8.085,34.0222,2.222
11.79,33.46,5.45
8.98,33.725,4.29
6.77,34.343,0.43
9.32,33.77,3.81
14.06,33.197,6.02
11.41,33.382,7.57
12.08,33.328,4.96
10.51,33.518,4.44
3.75,34.471,
14.911,33.2234,5.877999999999999
15.89,33.518,5.69
6.68,34.31,0.35
4.07,34.5,
23.13,34.978,4.65
16.43,33.442,5.73
9.28,33.935,3.15
8.42,34.058,1.92
13.96,33.367,5.64
9.869,33.9712,2.013
3.81,34.47,
9.38,33.803000000000004,
17.64,33.268,5.55
7.94,34.106,1.67
9.67,34.44,
15.526,32.9879,5.785
10.35,33.754,3.46
19.7,34.078,5.14
10.6,,
4.27,34.19,0.77
13.41,32.697,6.26
17.5,33.141,5.65
14.89,33.398,5.97
12.75,33.518,5.02
8.17,33.978,3.3
12.57,33.164,5.43
11.39,33.363,4.28
12.2,33.38,
13.88,33.579,5.12
14.12,33.444,5.8
8.34,34.159,
14.92,33.255,5.74
24.3,35.361,3.23
11.78,34.78,0.18
11.42,33.64,3.64
10.84,34.05,2.29
11.08,33.645,3.67
18.331,33.3975,5.43
4.62,34.47,
10.4,,3.22
7.69,34.037,
6.61,34.44,
10.951,33.5289,4.648
11.26,33.6,3.78
3.99,,0.42
18.89,33.814,5.11
8.44,33.944,2.62
18.05,33.5,5.59
8.46,33.96,3.4
7.86,34.227,1.1
8.1,34.023,2.66
7.74,34.08,
16.38,33.272,5.77
8.18,34.01,2.87
14.1,33.615,6.37
4.27,,
10.68,33.665,4.18
5.529,34.3831,0.134
13.48,33.767,3.71
18.23,33.79,
11.08,33.668,3.86
6.57,34.18,0.7
9.36,33.726,3.02
14.56,33.566,5.85
16.71,33.272,5.65
15.9,33.41,
8.58,34.17,1.4
13.57,33.692,3.82
6.7170000000000005,34.2928,0.371
6.91,34.48,0.2
9.19,33.929,2.77
13.23,33.43,
6.54,34.326,0.34
5.64,34.14,1.19
13.714,33.0743,5.8420000000000005
8.33,33.84,2.84
15.25,33.68,
6.68,34.382,0.36
28.0,34.78,4.56
9.82,33.614000000000004,4.54
14.8,33.227,6.13
10.18,34.66,
7.67,34.208,1.26
9.75,33.89,2.84
4.26,34.11,0.71
9.14,34.126999999999995,
22.17,33.71,5.11
19.61,33.78,
4.6,,0.48
10.39,34.284,1.53
10.14,33.393,4.73
7.18,32.897,5.93
17.01,33.636,
10.8,,5.17
5.31,34.202,0.5
13.58,33.3,5.86
8.31,34.286,0.87
16.24,33.673,5.7
5.02,34.46,0.31
6.17,34.031,1.82
6.5,33.931,3.53
5.89,34.302,0.57
6.87,34.263000000000005,0.6
18.6,33.568000000000005,
16.02,33.64,5.67
10.95,34.19,
7.76,34.221,1.13
9.75,33.59,3.48
7.43,34.069,2.18
7.98,34.018,3.0
6.78,34.272,0.61
12.18,33.42,5.27
11.42,33.372,5.29
5.712000000000001,34.1821,0.528
5.78,34.351,0.23
