T_degC,Salnty,O2ml_L
12.58,34.388000000000005,
8.35,33.996,
15.24,33.28,5.99
6.42,34.25,
18.28,33.828,6.48
10.38,33.98,2.9
17.69,33.869,
9.08,34.304,1.16
7.35,34.16,
22.33,33.973,5.12
9.07,34.294000000000004,1.31
12.02,34.74,0.18
15.59,33.15,5.9
7.692,34.1222,1.346
5.76,34.186,0.58
9.2,33.426,
15.98,33.42,
17.31,33.505,5.62
14.94,33.53,
12.92,33.218,6.14
9.62,33.753,3.66
8.52,34.03,
15.085,33.5934,5.792999999999999
7.08,34.292,0.79
15.26,33.554,5.94
14.83,33.53,5.5
13.03,33.68,
11.29,32.873000000000005,6.22
12.48,32.835,5.9
10.99,33.21,4.83
11.62,33.17,
9.37,33.75,
9.4,33.689,4.11
12.390999999999998,33.5705,4.952
8.55,34.09,
8.38,33.72,
18.51,32.65,5.56
9.6,34.713,0.52
11.13,33.313,5.19
15.42,33.526,5.87
4.72,,0.4
12.94,33.152,6.0
10.88,33.49,
13.71,34.64,0.52
12.56,33.383,4.57
9.43,33.705,3.87
9.66,34.33,1.09
14.65,33.38,5.73
13.32,33.008,5.83
6.52,34.546,0.15
11.8,33.028,5.68
4.83,34.39,
16.52,35.085,1.88
13.0,,4.04
4.24,34.54,0.43
8.8,33.99,6.21
10.09,33.767,4.06
12.582,33.3596,5.692
7.26,33.98,2.96
15.29,33.309,6.17
4.91,34.24,
2.86,34.451,0.42
10.78,34.38,1.06
18.97,34.099000000000004,5.5
15.28,33.58,5.66
9.562,33.6218,3.783
8.57,34.227,1.72
7.38,34.07,2.03
16.58,33.79,
9.64,33.64,3.71
19.5,33.28,5.43
9.12,34.473,0.5
12.94,33.116,5.22
12.7,34.099000000000004,1.91
9.56,33.999,2.5
12.84,33.58,5.46
12.84,33.71,4.46
10.25,33.661,3.8
15.24,34.012,3.32
15.095,33.3121,5.252000000000001
8.72,34.09,1.93
9.7,33.734,3.58
11.18,33.26,5.45
9.01,33.939,2.14
7.53,34.033,1.52
13.66,33.518,5.46
17.81,33.041,5.62
8.81,34.036,2.38
21.92,33.69,4.68
16.97,33.816,5.52
9.78,33.886,2.95
6.51,34.292,0.43
15.13,33.8,
8.5,,2.74
12.09,33.53,5.57
11.22,33.918,3.0
6.24,34.175,0.82
8.99,34.205,1.68
7.541,34.1506,1.246
3.27,34.396,0.4
7.938,34.0444,2.331
3.35,,0.46
12.52,33.105,5.5
6.94,34.004,3.06
11.27,33.262,5.59
15.92,33.065,5.8
13.632,33.1743,6.119
7.35,32.853,6.1
13.01,33.463,5.03
14.27,33.36,5.73
8.58,34.245,1.15
6.7,34.344,0.41
12.93,33.3,6.03
10.21,33.824,2.85
15.84,33.691,5.46
6.86,34.137,1.34
7.33,34.304,0.99
15.66,33.63,
10.22,34.194,1.68
13.58,,
6.57,34.263000000000005,0.57
7.8,34.129,1.82
8.68,34.007,3.1
17.23,33.36,5.69
12.06,33.63,3.92
12.4,33.58,4.53
14.72,33.55,
6.05,34.17,0.76
8.04,34.437,0.25
9.95,33.835,3.61
8.11,34.18,1.39
8.78,34.067,
24.9,34.47,
5.16,34.28,
8.21,34.04,2.36
18.48,33.397,5.46
9.63,34.13,
14.6,33.5019,
13.89,33.272,5.6
9.18,33.97,
15.65,33.77,5.79
8.93,33.888000000000005,
7.61,34.02,2.96
15.02,33.51,5.62
10.17,33.903,2.5
13.18,33.27,5.62
7.65,34.12,1.72
6.51,34.067,1.47
12.0,33.645,3.94
11.41,34.013000000000005,2.52
9.84,,
9.38,33.826,3.07
15.24,34.67,1.12
12.53,33.335,4.94
5.86,34.27,0.59
16.47,33.739000000000004,5.92
10.12,33.872,2.89
8.53,34.08,
15.88,33.294000000000004,6.1
1.85,34.663000000000004,2.43
18.54,34.4,5.24
13.89,33.66,
10.52,33.718,4.06
8.17,34.022,2.58
15.91,33.486,6.0
7.29,34.066,2.1
12.81,34.99,1.37
18.0,33.289,5.31
17.67,33.488,5.86
7.01,34.019,2.57
7.63,34.137,1.42
8.99,33.675,3.58
11.92,32.95,5.96
14.7,33.323,5.96
5.61,34.32,
5.17,34.266,
10.75,32.9,
12.76,33.714,3.87
6.67,34.306999999999995,0.38
19.12,33.428000000000004,5.58
9.71,33.863,2.89
10.63,33.611999999999995,4.14
10.35,33.611999999999995,3.9
6.27,34.253,0.59
15.78,33.28,5.58
5.03,34.33,
10.17,34.082,2.0
5.97,34.302,0.35
7.71,34.05,
7.94,34.163000000000004,1.21
6.46,34.102,
5.93,34.28,0.43
10.44,33.76,4.96
8.05,34.15,
22.94,34.54,4.84
8.93,34.22,
10.06,34.536,0.46
4.37,,0.46
5.62,34.31,0.35
9.71,33.837,4.22
5.97,34.308,0.33
15.51,33.5,5.01
8.41,33.924,2.76
5.76,34.36,0.34
9.77,34.29,
12.0,33.076,5.97
7.04,34.32,0.39
15.52,33.33,5.92
5.5,34.214,0.49
15.627,33.2816,5.757999999999999
16.2,35.068000000000005,1.93
9.91,34.49,
17.02,33.8,5.69
7.14,34.004,2.53
14.804,32.9344,5.93
12.45,33.5687,
9.21,33.391,4.14
15.61,33.522,5.81
5.99,34.295,0.56
6.68,34.192,0.95
5.68,34.23,0.57
14.73,33.298,5.87
15.45,33.95,
5.68,,0.24
12.59,33.204,5.86
7.38,34.073,1.64
8.35,34.061,2.14
8.85,33.983000000000004,2.66
14.79,33.54,
5.82,34.36,0.28
11.37,33.44,6.42
10.88,33.49,
7.63,34.092,1.96
7.02,,0.41
7.09,34.227,
14.2,32.64,
4.77,34.224000000000004,0.4
16.3,33.418,5.89
13.14,33.44,
7.48,34.03,
14.15,33.02,
6.67,34.2,0.92
15.45,,
20.64,33.8,5.44
8.59,34.02,
20.77,33.674,
16.06,33.919000000000004,5.87
4.9,34.315,0.27
14.07,33.13,6.13
9.856,33.7988,2.77
9.12,34.04,1.63
18.4,33.539,5.55
7.16,34.028,2.31
18.98,34.01,4.85
6.5,34.253,0.54
13.09,33.46,
9.1,34.096,1.61
11.823,33.6859,5.754
19.09,33.56,5.56
6.14,34.269,0.47
9.7,33.6,4.27
14.82,33.471,5.6
9.55,33.374,4.41
5.94,34.49,0.24
10.65,33.52,4.65
7.09,34.328,
12.25,33.58,5.96
14.79,33.58,
4.37,,0.44
1.7,,2.5
10.39,33.3125,4.705
15.68,33.31,6.01
7.92,34.062,2.43
14.47,33.422,6.16
8.24,34.08,1.66
14.32,33.534,5.94
9.76,34.297,
16.75,33.53,5.35
7.46,34.13,1.55
6.09,34.215,0.53
10.77,33.14,
8.12,33.939,2.88
7.77,34.005,3.06
18.38,33.82,5.34
8.43,34.031,1.47
10.25,33.563,4.1
17.02,35.17,
7.42,34.281,0.61
15.13,32.976,5.87
8.06,34.23,
11.771,33.4507,3.594
15.43,33.48,5.98
8.089,34.0357,2.158
8.76,34.018,3.15
9.51,33.706,3.29
7.6,34.072,2.15
8.27,34.13,1.74
8.96,34.082,
7.13,34.206,
7.58,34.289,0.64
8.85,33.968,2.8
14.83,33.53,
8.98,33.96,2.39
10.11,33.74,3.83
16.68,33.233000000000004,5.67
7.88,34.043,2.55
8.47,34.308,0.93
17.28,33.416,5.61
8.87,34.046,2.37
9.49,34.512,0.52
10.59,33.55,
11.8,33.56,4.34
14.43,32.87,6.03
12.726,33.4175,
3.78,,
17.25,32.907,5.74
16.18,33.467,5.76
6.82,34.16,
3.62,34.426,0.46
8.054,34.0239,2.123
13.99,33.274,
7.18,34.0,
4.91,34.504,0.33
14.42,33.62,
13.0,33.516,5.01
7.256,34.2819,0.427
16.01,33.563,
6.41,34.282,0.63
9.11,33.847,3.16
8.29,33.93,2.92
6.56,34.203,
4.63,,0.35
12.37,33.322,4.94
11.16,33.884,3.1
9.5,33.515,4.32
12.32,33.39,
14.14,33.219,5.84
7.99,34.021,2.58
6.28,34.118,1.11
8.88,33.89,2.7
16.7,33.544000000000004,5.7
7.04,33.995,2.63
8.74,34.136,1.75
14.72,33.64,
8.892000000000001,33.8473,2.784
5.39,34.411,0.65
4.03,34.45,
7.23,34.035,2.07
14.28,33.386,6.02
9.38,34.43,
5.8,34.241,0.67
23.9,34.675,4.74
10.88,33.63,4.6
8.57,33.992,3.01
7.45,34.07,
16.01,33.677,5.71
17.66,33.148,5.66
11.68,34.839,0.98
17.62,33.558,5.5
4.82,34.42,
6.27,34.28,
4.06,34.444,0.4
15.92,33.556999999999995,5.69
13.17,33.477,4.6
8.75,33.92,2.92
10.89,33.622,4.24
7.7,34.029,2.36
4.36,,0.46
11.42,33.126,5.62
11.98,34.91,0.18
11.25,34.12,
15.23,33.376999999999995,5.65
8.84,34.4,
7.14,34.19,1.36
15.39,32.935,5.87
7.68,34.25,1.01
11.34,34.197,1.79
13.541,33.2194,5.422000000000001
9.44,34.44,0.79
7.69,34.058,1.9
12.6,33.497,4.93
13.1,32.803000000000004,6.34
10.33,33.584,4.29
7.91,34.56,0.1
9.33,34.02,2.1
10.02,33.79,1.97
