YEAR,MONTH,METRIC,d1,d10,d11,d12,d13,d14,d15,d16,d17,d18,d19,d2,d20,d21,d22,d23,d24,d25,d26,d27,d28,d29,d3,d30,d31,d4,d5,d6,d7,d8,d9
2006,12,TMIN,7.0,24.0,18.0,20.0,28.0,33.0,24.0,14.0,7.0,6.0,7.0,4.0,6.0,12.0,15.0,9.0,15.0,17.0,32.0,25.0,23.0,14.0,2.0,8.0,21.0,21.0,27.0,25.0,28.0,28.0,28.0
2007,1,PRCP,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.4,0.0,0.3,0.0,0.0,0.0
2007,1,TMAX,35.0,44.0,31.0,14.0,14.0,9.0,20.0,34.0,28.0,28.0,38.0,38.0,33.0,27.0,26.0,39.0,43.0,50.0,45.0,34.0,40.0,39.0,44.0,36.0,28.0,40.0,27.0,23.0,28.0,37.0,52.0
2007,1,TMIN,18.0,30.0,9.0,-10.0,-10.0,-10.0,-9.0,9.0,11.0,3.0,14.0,19.0,9.0,4.0,8.0,13.0,27.0,29.0,23.0,15.0,16.0,17.0,29.0,18.0,7.0,16.0,3.0,2.0,6.0,22.0,22.0
2007,2,PRCP,0.1,0.4,1.1,0.0,0.0,0.1,0.2,0.0,0.0,0.2,0.8,0.0,0.2,0.0,0.1,0.5,0.0,0.4,0.4,0.1,0.3,9999.0,0.0,9999.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.1
2007,2,TMAX,18.0,47.0,37.0,34.0,35.0,32.0,32.0,37.0,43.0,46.0,32.0,22.0,36.0,45.0,47.0,34.0,26.0,28.0,31.0,29.0,27.0,9999.0,36.0,9999.0,9999.0,39.0,50.0,56.0,52.0,43.0,43.0
2007,2,TMIN,4.0,31.0,29.0,19.0,16.0,16.0,19.0,27.0,20.0,27.0,10.0,8.0,9.0,25.0,31.0,14.0,6.0,16.0,17.0,7.0,8.0,9999.0,17.0,9999.0,9999.0,27.0,27.0,34.0,32.0,31.0,31.0
2007,3,PRCP,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.3,0.4,0.0,0.1,0.0,0.1,0.0,0.3,0.3,0.2,0.0,0.2,0.1,0.0,0.1,0.1,0.1,0.4,0.0
2007,3,TMAX,22.0,45.0,50.0,58.0,58.0,53.0,48.0,55.0,63.0,60.0,59.0,25.0,54.0,47.0,50.0,51.0,53.0,54.0,54.0,47.0,36.0,40.0,28.0,34.0,47.0,43.0,52.0,47.0,53.0,44.0,49.0
2007,3,TMIN,10.0,26.0,23.0,34.0,41.0,38.0,29.0,33.0,41.0,41.0,38.0,4.0,34.0,31.0,30.0,31.0,31.0,33.0,37.0,23.0,23.0,18.0,2.0,16.0,29.0,17.0,31.0,31.0,31.0,27.0,29.0
2007,4,PRCP,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9999.0,0.0,0.0,0.0,0.0,0.0,0.1
