bib,race,division,city,time,pace
2897,5K,Division:F 10-12,"Salt Lake City, UTAH",37:15.4,12:01/M
2898,5K,Division:F 16-19,"Highland, UTAH",34:24.4,11:06/M
2899,5K,Division:F 20-24,"Provo, UTAH",24:22.5,7:52/M
2900,5K,Division:M 20-24,"Provo, UTAH",24:34.7,7:56/M
2901,5K,Division:M 25-29,"Provo, UTAH",20:37.2,6:39/M
2902,5K,Division:M 20-24,"Kennewick, WASHINGTON",20:30.3,6:37/M
2903,5K,Division:M 55-59,"Orem, UTAH",53:30.4,17:16/M
2904,5K,Division:F 55-59,"Orem, UTAH",53:30.2,17:16/M
2905,5K,Division:F 30-34,"Saratoga Springs, UTAH",33:44.7,10:53/M
2906,5K,Division:F 10-12,"Pleasant Grove, UTAH",33:58.7,10:58/M
2907,5K,Division:F 16-19,"Orem, UTAH",43:13.8,13:57/M
2908,5K,Division:M 40-44,"Orem, UTAH",28:13.4,9:06/M
2909,5K,Division:M 13-15,"Orem, UTAH",27:31.6,8:53/M
2910,5K,Division:F 16-19,"Spanish Fork, UTAH",36:47.1,11:52/M
2911,5K,Division:F 13-15,"Spanish Fork, UTAH",43:45.1,14:07/M
2912,5K,Division:F 16-19,"Spanish Fork, UTAH",43:51.3,14:09/M
2913,5K,Division:F 16-19,"Spanish Fork, UTAH",43:43.7,14:06/M
2915,5K,Division:F 45-49,"Mapleton, UTAH",34:27.4,11:07/M
2916,5K,Division:M 16-19,"Mapleton, UTAH",34:18.4,11:04/M
2917,5K,Division:M 10-12,"Mapleton, UTAH",34:28.5,11:07/M
2918,5K,Division:F 45-49,"Orem, UTAH",43:51.8,14:09/M
2919,5K,Division:F 16-19,"Orem, UTAH",58:37.5,18:55/M
2920,5K,Division:M 16-19,"Orem, UTAH",43:53.0,14:09/M
2922,5K,Division:M 10-12,"Orem, UTAH",44:41.7,14:25/M
2923,5K,Division:M  1- 9,"Orem, UTAH",59:21.8,19:09/M
2924,5K,Division:M 25-29,"Cedar Hills, UTAH",26:14.1,8:28/M
2925,5K,Division:M 55-59,"Cedar Hills, UTAH",32:18.3,10:25/M
2926,5K,Division:F 45-49,"Cedar Hills, UTAH",35:38.2,11:30/M
2927,5K,Division:F 45-49,"Lehi, UTAH",32:38.7,10:32/M
2928,5K,Division:M 13-15,"Lehi, UTAH",28:25.2,9:10/M
2929,5K,Division:M 10-12,"Lehi, UTAH",42:46.0,13:48/M
2930,5K,Division:F 45-49,"Lehi, UTAH",56:37.0,18:16/M
2931,5K,Division:M 13-15,"Lehi, UTAH",42:48.3,13:48/M
2932,5K,Division:F 13-15,"Lehi, UTAH",43:31.0,14:02/M
2933,5K,Division:M 35-39,"Saratoga Springs, UTAH",27:03.0,8:44/M
2934,5K,Division:F 10-12,"Saratoga Springs, UTAH",27:01.7,8:43/M
2935,5K,Division:M 55-59,"Midway, UTAH",28:28.4,9:11/M
2937,5K,Division:F 30-34,"Orem, UTAH",36:39.6,11:50/M
2938,5K,Division:M 16-19,"Orem, UTAH",18:32.7,5:59/M
2939,5K,Division:F 35-39,"Sharpsburg, GEORGIA",26:03.2,8:24/M
2940,5K,Division:F 50-54,"Frisco, TEXAS",40:49.7,13:10/M
2942,5K,Division:F 20-24,"Cedar Hills, UTAH",31:06.3,10:02/M
2943,5K,Division:F 45-49,"Cedar Hills, UTAH",34:54.9,11:16/M
2944,5K,Division:M 40-44,"Provo, UTAH",27:14.1,8:47/M
2945,5K,Division:F 40-44,"Provo, UTAH",35:11.9,11:21/M
2946,5K,Division:F 13-15,"Provo, UTAH",27:26.7,8:51/M
2947,5K,Division:F 10-12,"Provo, UTAH",26:14.6,8:28/M
2948,5K,Division:F 10-12,"Provo, UTAH",26:08.4,8:26/M
2949,5K,Division:F 10-12,"Provo, UTAH",35:11.2,11:21/M
2950,5K,Division:M  1- 9,"Provo, UTAH",26:54.6,8:41/M
2951,5K,Division:F 60-64,"Draper, UTAH",35:23.3,11:25/M
2952,5K,Division:M 20-24,"Frisco, TEXAS",28:11.9,9:06/M
2953,5K,Division:F 20-24,"Frisco, TEXAS",30:21.1,9:47/M
2954,5K,Division:F 40-44,"Albany, OREGON",26:03.2,8:24/M
2955,5K,Division:M 45-49,"Springville, UTAH",32:12.4,10:23/M
2956,5K,Division:M 13-15,"Springville, UTAH",27:13.3,8:47/M
2957,5K,Division:M 16-19,"Payson, UTAH",18:36.2,6:00/M
2958,5K,Division:M 13-15,"Payson, UTAH",23:49.3,7:41/M
2959,5K,Division:F 40-44,"Albuquerque, NEW MEXICO",32:32.0,10:30/M
2960,5K,Division:M 20-24,"Orem, UTAH",17:08.1,5:32/M
2961,5K,Division:F 50-54,"American Fork, UTAH",38:03.4,12:17/M
2962,5K,Division:M 45-49,"Eagle Mountain, UTAH",37:56.1,12:14/M
2963,5K,Division:M 50-54,"Eagle Mountain, UTAH",37:56.5,12:14/M
2964,5K,Division:F 16-19,"South Jordan, UTAH",26:22.7,8:31/M
2965,5K,Division:M 13-15,"South Jordan, UTAH",21:51.4,7:03/M
2966,5K,Division:M 40-44,"Lehi, UTAH",32:07.4,10:22/M
2967,5K,Division:F 20-24,"Stansbury Park, UTAH",30:44.9,9:55/M
2968,5K,Division:M 10-12,"American Fork, UTAH",31:07.3,10:02/M
2969,5K,Division:F 40-44,"American Fork, UTAH",31:10.3,10:03/M
2971,5K,Division:M 25-29,"North Salt Lake, UTAH",36:06.9,11:39/M
2972,5K,Division:F 40-44,"Provo, UTAH",29:17.6,9:27/M
2973,5K,Division:M 10-12,"Provo, UTAH",24:18.6,7:51/M
2974,5K,Division:M 40-44,"Provo, UTAH",28:26.5,9:11/M
2976,5K,Division:F 35-39,"Vienna, VIRGINIA",34:43.0,11:12/M
2977,5K,Division:F 45-49,"West Jordan, UTAH",31:20.0,10:06/M
2978,5K,Division:M 45-49,"West Jordan, UTAH",34:37.7,11:10/M
2979,5K,Division:F 35-39,"Spanish Fork, UTAH",31:42.5,10:14/M
2980,5K,Division:F 10-12,"Spanish Fork, UTAH",32:15.2,10:24/M
2981,5K,Division:M 45-49,"Mapleton, UTAH",30:50.0,9:57/M
2982,5K,Division:F 20-24,"Mapleton, UTAH",30:50.4,9:57/M
2983,5K,Division:F 13-15,"Mapleton, UTAH",30:50.5,9:57/M
2984,5K,Division:F 45-49,"Provo, UTAH",33:35.6,10:50/M
2985,5K,Division:F 13-15,"Provo, UTAH",34:14.9,11:03/M
2986,5K,Division:F 13-15,"Orem, UTAH",23:04.5,7:27/M
2987,5K,Division:M 20-24,"Vacaville, CALIFORNIA",22:20.7,7:12/M
2988,5K,Division:M 10-12,"Vacaville, CALIFORNIA",29:29.4,9:31/M
2989,5K,Division:M 35-39,"Saratoga Springs, UTAH",29:22.1,9:28/M
2990,5K,Division:F 13-15,"Saratoga Springs, UTAH",28:54.0,9:19/M
2991,5K,Division:M 10-12,"Saratoga Springs, UTAH",36:52.9,11:54/M
2992,5K,Division:F 45-49,"Provo, UTAH",39:30.6,12:45/M
2993,5K,Division:F 13-15,"Provo, UTAH",38:08.1,12:18/M
2994,5K,Division:F 10-12,"Provo, UTAH",38:08.2,12:18/M
2995,5K,Division:M  1- 9,"Provo, UTAH",39:28.2,12:44/M
2996,5K,Division:F 10-12,"Orem, UTAH",35:38.7,11:30/M
2997,5K,Division:F 30-34,"Orem, UTAH",26:57.6,8:42/M
2998,5K,Division:M 16-19,"Murray, UTAH",30:44.7,9:55/M
2999,5K,Division:F 16-19,"Orem, UTAH",21:19.0,6:53/M
3000,5K,Division:F 20-24,"Orem, UTAH",26:50.2,8:39/M
3001,5K,Division:F 45-49,"Spanish Fork, UTAH",27:15.5,8:48/M
3002,5K,Division:M 13-15,"Spanish Fork, UTAH",27:50.7,8:59/M
3003,5K,Division:F 30-34,"Gilbert, ARIZONA",33:35.6,10:50/M
3004,5K,Division:F 30-34,"Cedar Hills, UTAH",33:35.8,10:50/M
3005,5K,Division:M 20-24,"Pleasant Grove, UTAH",35:30.2,11:27/M
3006,5K,Division:F 20-24,"Pleasant Grove, UTAH",35:52.1,11:34/M
3007,5K,Division:M 20-24,"Salt Lake City, UTAH",51:46.3,16:42/M
3008,5K,Division:F 45-49,"Orem, UTAH",33:37.1,10:51/M
3009,5K,Division:M 13-15,"Benjamin, UTAH",35:10.6,11:21/M
3010,5K,Division:M 16-19,"Benjamin, UTAH",27:28.3,8:52/M
3011,5K,Division:M 40-44,"South Jordan, UTAH",25:57.6,8:22/M
3012,5K,Division:M 13-15,"South Jordan, UTAH",22:46.3,7:21/M
3013,5K,Division:F 25-29,"Pleasant Grove, UTAH",33:06.6,10:41/M
3014,5K,Division:M 25-29,"Pleasant Grove, UTAH",33:08.3,10:41/M
3015,5K,Division:F 30-34,"Spanish Fork, UTAH",44:42.9,14:25/M
