race,state,gun_min,chip_min,pace_min,gender,age
5k,UT,32.86666666666667,31.783333333333335,10.25,M,34.5
5k,UT,31.55,30.4,9.8,F,34.5
5k,UT,66.38333333333334,64.45,20.783333333333335,F,54.5
5k,UT,43.8,41.9,13.516666666666667,M,24.5
10k,UT,51.06666666666667,50.61666666666667,8.166666666666666,M,24.5
5k,UT,37.46666666666667,36.93333333333333,11.916666666666666,M,24.5
5k,UT,37.96666666666667,37.43333333333333,12.083333333333334,F,24.5
5k,OK,38.2,37.43333333333333,12.083333333333334,F,44.5
5k,UT,30.766666666666666,29.916666666666668,9.65,F,24.5
5k,UT,30.283333333333335,29.433333333333334,9.5,F,17.0
5k,UT,36.45,36.11666666666667,11.65,F,24.5
5k,UT,30.916666666666668,30.533333333333335,9.85,M,24.5
5k,UT,36.28333333333333,34.1,11.0,M,54.5
5k,UT,36.1,35.416666666666664,11.416666666666666,M,64.5
5k,UT,38.1,35.93333333333333,11.583333333333334,F,34.5
5k,UT,53.733333333333334,51.483333333333334,16.6,F,24.5
5k,UT,36.28333333333333,34.1,11.0,M,34.5
5k,UT,56.2,53.983333333333334,17.416666666666668,F,54.5
5k,UT,36.31666666666667,36.18333333333333,11.666666666666666,F,44.5
5k,UT,34.71666666666667,34.55,11.15,F,24.5
5k,UT,31.9,31.016666666666666,10.0,F,24.5
5k,UT,35.583333333333336,33.75,10.883333333333333,F,34.5
5k,UT,41.3,41.25,13.3,F,44.5
5k,UT,36.9,36.666666666666664,11.833333333333334,F,17.0
5k,UT,39.766666666666666,38.95,12.566666666666666,F,44.5
5k,ID,25.616666666666667,25.233333333333334,8.133333333333333,M,24.5
5k,NM,41.11666666666667,40.31666666666667,13.0,M,34.5
5k,UT,33.733333333333334,32.56666666666667,10.5,M,24.5
5k,UT,41.25,40.36666666666667,13.016666666666667,F,24.5
5k,UT,22.75,22.2,7.166666666666667,M,24.5
5k,UT,28.9,28.766666666666666,9.283333333333333,F,54.5
5k,UT,43.38333333333333,41.55,13.4,M,34.5
5k,UT,22.066666666666666,20.383333333333333,6.583333333333333,M,24.5
5k,UT,41.61666666666667,39.45,12.733333333333333,F,24.5
5k,UT,41.63333333333333,39.43333333333333,12.716666666666667,M,24.5
5k,UT,29.816666666666666,29.033333333333335,9.366666666666667,M,24.5
5k,WA,31.433333333333334,31.116666666666667,10.033333333333333,F,17.0
5k,UT,29.783333333333335,28.983333333333334,9.35,F,24.5
5k,UT,22.766666666666666,22.65,7.3,M,24.5
5k,UT,28.95,28.35,9.15,M,24.5
5k,UT,28.033333333333335,27.916666666666668,9.0,F,34.5
5k,UT,29.666666666666668,28.366666666666667,9.15,M,54.5
5k,UT,27.833333333333332,26.583333333333332,8.583333333333334,F,24.5
5k,UT,39.333333333333336,38.03333333333333,12.266666666666667,M,17.0
5k,UT,43.71666666666667,42.4,13.683333333333334,F,54.5
5k,UT,27.816666666666666,26.566666666666666,8.566666666666666,M,24.5
5k,UT,35.916666666666664,35.4,11.416666666666666,F,24.5
5k,UT,30.666666666666668,29.433333333333334,9.5,M,24.5
5k,UT,32.03333333333333,30.8,9.933333333333334,F,44.5
5k,UT,45.916666666666664,45.15,14.566666666666666,F,17.0
5k,UT,30.6,30.483333333333334,9.833333333333334,F,34.5
5k,UT,27.716666666666665,27.6,8.9,M,34.5
5k,UT,21.4,21.333333333333332,6.883333333333334,M,34.5
5k,UT,40.016666666666666,39.333333333333336,12.683333333333334,F,34.5
5k,UT,55.416666666666664,55.21666666666667,17.816666666666666,F,34.5
5k,UT,30.283333333333335,29.65,9.566666666666666,F,34.5
5k,UT,26.583333333333332,25.416666666666668,8.2,M,24.5
5k,UT,63.016666666666666,61.583333333333336,19.866666666666667,F,24.5
5k,UT,31.05,30.55,9.85,M,24.5
5k,UT,65.9,64.38333333333334,20.766666666666666,M,54.5
5k,UT,30.3,29.033333333333335,9.366666666666667,F,24.5
5k,UT,55.93333333333333,54.21666666666667,17.483333333333334,M,44.5
5k,UT,55.93333333333333,54.2,17.483333333333334,F,34.5
5k,UT,38.15,36.78333333333333,11.866666666666667,F,24.5
5k,CO,35.483333333333334,34.1,11.0,F,24.5
5k,UT,54.13333333333333,52.7,17.0,M,54.5
5k,UT,33.61666666666667,33.21666666666667,10.716666666666667,M,44.5
5k,UT,56.28333333333333,55.78333333333333,18.0,F,24.5
5k,UT,31.816666666666666,31.216666666666665,10.066666666666666,M,44.5
5k,UT,31.816666666666666,31.2,10.066666666666666,M,5.0
5k,UT,33.2,32.78333333333333,10.583333333333334,M,24.5
