"playerID","total_hits","total_hr","total_rbi","total_sb","firstName","lastName"
"cangejo01",501,12,134,154,"John","Cangelosi"
"canoro01",2570,324,1272,51,"Robinson","Cano"
"cansejo01",1877,462,1407,200,"Jose","Canseco"
"cantujo01",847,104,476,11,"Jorge","Cantu"
"carbobe01",722,96,358,26,"Bernie","Carbo"
"cardejo02",1913,138,775,329,"Jose","Cardenal"
"cardele01",1725,118,689,39,"Leo","Cardenas"
"carewro01",3053,92,1015,353,"Rod","Carew"
"careyan01",741,64,350,23,"Andy","Carey"
"careyma01",2665,70,800,738,"Max","Carey"
"carpema01",1092,148,531,25,"Matt","Carpenter"
"carrach01",1199,55,474,31,"Chico","Carrasquel"
"carrema01",557,69,289,12,"Mark","Carreon"
"carribi02",506,6,235,37,"Bill","Carrigan"
"carroja01",1000,13,265,74,"Jamey","Carroll"
"cartech02",536,158,400,12,"Chris","Carter"
"cartega01",2092,324,1225,39,"Gary","Carter"
"cartejo01",2184,396,1445,231,"Joe","Carter"
"cartwed01",562,24,333,144,"Ed","Cartwright"
"cartyri01",1677,204,890,21,"Rico","Carty"
"casanpa01",627,50,252,2,"Paul","Casanova"
"casege01",1415,21,377,349,"George","Case"
"caseydo01",1122,9,354,191,"Doc","Casey"
"caseyse01",1531,130,735,18,"Sean","Casey"
"cashda01",1571,21,426,120,"Dave","Cash"
"cashno01",1820,377,1103,43,"Norm","Cash"
"casteni01",930,120,460,11,"Nick","Castellanos"
"castijo01",646,41,249,22,"John","Castino"
"castilu01",1889,28,443,370,"Luis","Castillo"
"castivi02",1884,320,1105,33,"Vinny","Castilla"
"castiwe01",626,98,339,5,"Welington","Castillo"
"castrja01",619,86,292,5,"Jason","Castro"
"castrju01",601,36,234,5,"Juan","Castro"
"castrst01",1617,133,636,89,"Starlin","Castro"
"catalfr01",1113,84,457,45,"Frank","Catalanotto"
"caterda01",1229,66,519,26,"Danny","Cater"
"causewa01",819,35,285,12,"Wayne","Causey"
"cavarph01",1977,95,920,65,"Phil","Cavarretta"
"cedence01",2087,199,976,550,"Cesar","Cedeno"
"cedenro01",865,40,274,213,"Roger","Cedeno"
"cedenro02",629,40,239,39,"Ronny","Cedeno"
"cepedor01",2351,379,1365,142,"Orlando","Cepeda"
"ceronri01",998,59,436,6,"Rick","Cerone"
"cervbo01",624,105,374,12,"Bob","Cerv"
"cervefr01",592,38,268,16,"Francisco","Cervelli"
"cespeyo01",865,163,524,43,"Yoenis","Cespedes"
"ceyro01",1868,316,1139,24,"Ron","Cey"
"chalkda01",733,15,243,36,"Dave","Chalk"
"chambch01",2109,185,972,40,"Chris","Chambliss"
"chancfr01",1274,20,596,403,"Frank","Chance"
"chapmbe01",1958,90,977,287,"Ben","Chapman"
"chapmra01",1053,17,364,233,"Ray","Chapman"
"chapmsa01",1329,180,773,41,"Sam","Chapman"
"charled01",917,86,421,86,"Ed","Charles"
"chaseha01",2158,57,941,363,"Hal","Chase"
"chaveen01",849,30,266,106,"Endy","Chavez"
"chaveer01",1477,260,902,50,"Eric","Chavez"
"childcu01",1721,20,743,269,"Cupid","Childs"
"chiozlo01",633,14,197,45,"Lou","Chiozza"
"chiselo01",578,64,296,20,"Lonnie","Chisenhall"
"choosh01",1645,213,767,151,"Shin-Soo","Choo"
"chrisma01",781,19,348,17,"Mark","Christman"
"cimolgi01",808,44,321,21,"Gino","Cimoli"
"cintral01",565,33,222,18,"Alex","Cintron"
"cirilje01",1598,112,727,63,"Jeff","Cirillo"
"cissebi01",990,29,423,113,"Bill","Cissell"
"clancbu01",504,12,198,19,"Bud","Clancy"
"clarkbo02",858,20,429,54,"Boileryard","Clarke"
"clarkbr02",559,36,210,48,"Brady","Clark"
"clarkda05",518,62,284,19,"Dave","Clark"
"clarkfr01",2678,67,1015,509,"Fred","Clarke"
"clarkho01",1230,27,304,151,"Horace","Clarke"
"clarkja01",1826,340,1180,77,"Jack","Clark"
"clarkto02",1188,251,824,6,"Tony","Clark"
"clarkwi02",2176,284,1205,67,"Will","Clark"
"claytro01",1904,110,723,231,"Royce","Clayton"
"clemero01",3000,240,1305,83,"Roberto","Clemente"
"clenddo01",1273,159,682,90,"Donn","Clendenon"
