ID,MP,PTS,FG%,3P%,2P%,eFG%,FT%,TRB,AST,STL,BLK,TOV
Yoeli Childs-2017,25.9,9.3,0.55,0.0,0.555,0.55,0.585,8.2,1.2,0.6,1.4,1.7
Kyle Davis-2017,16.9,8.0,0.59,0.0,0.59,0.59,0.696,3.6,0.8,0.5,0.8,1.6
L.J. Rose-2017,26.1,5.5,0.353,0.286,0.417,0.422,0.851,4.6,4.7,0.9,0.1,1.7
Davin Guinn-2017,13.1,2.3,0.333,0.308,0.359,0.41,0.632,2.1,0.5,0.6,0.1,0.4
Jamal Aytes-2017,6.0,2.2,0.561,0.0,0.561,0.561,0.7,1.2,0.2,0.0,0.1,0.4
Steven Beo-2017,11.5,2.2,0.385,0.29,0.471,0.454,0.429,1.3,0.9,0.4,0.0,0.5
Braiden Shaw-2017,6.5,1.4,0.581,0.0,0.581,0.581,0.4,1.9,0.2,0.3,0.0,0.4
Corbin Kaufusi-2017,5.4,0.6,0.4,0.0,0.4,0.4,0.286,0.9,0.0,0.1,0.3,0.6
Elijah Bryant-2018,34.7,18.2,0.494,0.415,0.574,0.598,0.85,6.3,2.3,1.3,0.5,2.3
Yoeli Childs-2018,34.0,17.8,0.541,0.313,0.568,0.557,0.643,8.6,2.2,0.9,1.8,2.2
TJ Haws-2018,33.7,11.7,0.41,0.309,0.503,0.484,0.837,2.7,4.2,1.2,0.3,1.9
Dalton Nixon-2018,17.3,6.0,0.527,0.238,0.611,0.554,0.72,3.0,1.3,0.6,0.2,0.8
Jashire Hardnett-2018,27.0,6.0,0.457,0.326,0.508,0.503,0.807,2.7,2.0,0.7,0.1,1.7
Zac Seljaas-2018,19.9,5.1,0.455,0.295,0.642,0.534,0.828,1.8,1.4,0.4,0.3,0.8
Luke Worthington-2018,14.7,4.3,0.479,0.0,0.479,0.479,0.593,2.8,0.5,0.4,0.2,0.6
McKay Cannon-2018,18.5,3.5,0.418,0.326,0.545,0.513,0.8,1.2,1.4,0.9,0.0,0.7
Payton Dastrup-2018,7.9,3.3,0.52,0.433,0.578,0.607,0.667,1.8,0.4,0.3,0.4,0.6
Yoeli Childs-2019,33.3,21.2,0.507,0.323,0.551,0.538,0.708,9.7,2.1,1.0,1.0,2.8
TJ Haws-2019,33.4,17.8,0.463,0.352,0.547,0.539,0.868,3.5,5.1,1.2,0.3,2.3
Jashire Hardnett-2019,23.8,9.7,0.427,0.222,0.509,0.459,0.82,2.0,1.7,1.0,0.0,1.2
Zac Seljaas-2019,22.6,7.1,0.424,0.373,0.525,0.548,0.767,3.5,1.3,0.7,0.4,0.9
Connor Harding-2019,19.4,6.2,0.463,0.309,0.595,0.534,0.672,2.9,1.2,0.3,0.2,0.8
Nick Emery-2019,21.1,6.1,0.39,0.355,0.452,0.504,0.667,1.7,1.8,1.1,0.0,1.0
Gavin Baxter-2019,14.7,4.7,0.648,0.333,0.671,0.659,0.513,3.1,0.2,0.2,1.1,0.5
Dalton Nixon-2019,12.4,3.5,0.439,0.063,0.56,0.447,0.778,2.6,0.8,0.4,0.2,0.7
McKay Cannon-2019,19.9,3.4,0.442,0.397,0.536,0.576,0.529,1.6,1.6,0.8,0.0,0.6
Luke Worthington-2019,10.7,2.8,0.493,0.0,0.493,0.493,0.6,2.3,0.3,0.3,0.1,0.4
Rylan Bergersen-2019,7.7,2.5,0.4,0.296,0.522,0.48,0.586,1.0,0.5,0.2,0.2,0.3
Yoeli Childs-2020,28.8,22.2,0.574,0.489,0.588,0.61,0.538,9.0,2.0,0.7,0.9,2.4
Jake Toolson-2020,33.6,15.2,0.472,0.47,0.475,0.59,0.797,4.8,3.9,1.1,0.4,2.0
TJ Haws-2020,32.5,14.0,0.459,0.371,0.531,0.542,0.762,2.5,5.7,1.3,0.2,2.6
Alex Barcello-2020,30.1,9.3,0.493,0.486,0.5,0.614,0.879,3.1,1.8,0.9,0.1,1.0
Dalton Nixon-2020,22.4,7.5,0.509,0.381,0.592,0.584,0.622,4.3,1.5,0.6,0.4,1.0
Kolby Lee-2020,17.3,7.0,0.625,0.5,0.639,0.651,0.711,3.2,0.7,0.2,0.1,0.9
Zac Seljaas-2020,19.9,6.6,0.422,0.356,0.533,0.534,0.765,4.0,0.8,0.8,0.3,0.8
Connor Harding-2020,22.6,6.1,0.518,0.442,0.617,0.642,0.667,3.2,1.3,0.3,0.0,0.8
Trevin Knell-2020,5.7,1.5,0.333,0.269,0.571,0.439,0.0,0.6,0.2,0.1,0.1,0.1
Alex Barcello-2021,32.0,16.1,0.523,0.477,0.552,0.616,0.856,4.7,4.3,1.0,0.0,2.0
Brandon Averette-2021,27.6,11.7,0.441,0.35,0.513,0.518,0.805,2.7,3.7,0.8,0.1,2.4
Matt Haarms-2021,23.0,11.3,0.546,0.194,0.609,0.561,0.803,5.0,1.1,0.2,2.0,1.5
Caleb Lohner-2021,23.9,7.0,0.469,0.333,0.558,0.535,0.667,7.1,1.2,0.7,0.1,1.6
Richard Harward-2021,15.5,6.1,0.602,0.0,0.613,0.602,0.522,4.3,1.0,0.2,0.2,1.3
Trevin Knell-2021,16.4,6.1,0.467,0.453,0.52,0.646,0.579,2.0,0.9,0.3,0.0,0.6
Connor Harding-2021,20.9,5.4,0.403,0.319,0.532,0.5,0.846,2.6,1.5,0.5,0.2,0.8
Gideon George-2021,13.7,5.4,0.407,0.318,0.451,0.459,0.677,3.5,0.4,0.3,0.2,1.0
Spencer Johnson-2021,17.5,5.1,0.459,0.407,0.52,0.569,0.682,2.3,0.9,0.4,0.1,1.0
Kolby Lee-2021,10.0,3.7,0.519,0.316,0.583,0.557,0.714,2.0,0.9,0.2,0.0,0.5
Alex Barcello-2022,32.1,16.8,0.451,0.421,0.479,0.554,0.865,3.8,3.3,0.9,0.0,1.8
Te'Jon Lucas-2022,30.0,10.4,0.443,0.318,0.491,0.487,0.723,2.2,4.7,0.9,0.1,2.3
Fousseyni Traore-2022,23.7,9.5,0.587,0.125,0.605,0.589,0.744,8.5,0.9,0.5,1.3,1.5
Gideon George-2022,22.1,8.8,0.436,0.349,0.536,0.53,0.683,5.0,1.2,0.5,0.2,1.3
Seneca Knight-2022,22.7,7.4,0.396,0.306,0.464,0.462,0.726,3.4,1.4,0.6,0.3,1.2
Caleb Lohner-2022,23.2,7.0,0.422,0.213,0.494,0.449,0.554,6.4,1.1,0.4,0.2,1.7
Trevin Knell-2022,19.5,6.4,0.406,0.362,0.493,0.525,0.696,1.8,1.0,0.3,0.0,0.7
Spencer Johnson-2022,19.9,5.8,0.452,0.39,0.513,0.548,0.667,2.9,1.0,0.6,0.2,0.9
Atiki Ally Atiki-2022,10.7,3.0,0.579,0.0,0.579,0.579,0.474,2.9,0.3,0.0,0.8,0.7
