country,region,sub-region,iso_alpha,happiness_score,economy,family,health,freedom,generosity,corruption,dystopia
Liberia,Africa,Sub-Saharan Africa,LBR,4.196000000000001,0.6096666666666667,0.735,0.25533333333333336,0.5566666666666666,0.18000000000000002,0.07133333333333333,1.7883333333333333
Libya,Africa,Northern Africa,LBY,5.843,1.3865,1.2045,0.5495000000000001,0.6579999999999999,0.111,0.209,1.7254999999999998
Lithuania,Europe,Northern Europe,LTU,6.803333333333334,1.7526666666666666,1.5546666666666666,0.5406666666666666,0.574,0.04466666666666667,0.10933333333333334,2.2273333333333336
Luxembourg,Europe,Western Europe,LUX,7.157333333333334,2.1229999999999998,1.4233333333333331,0.707,0.8140000000000001,0.13733333333333334,0.41566666666666663,1.5373333333333334
Macedonia,Europe,Southern Europe,MKD,5.375333333333333,1.477,1.3283333333333334,0.507,0.5773333333333334,0.17700000000000002,0.013999999999999999,1.295
Madagascar,Africa,Sub-Saharan Africa,MDG,4.134666666666667,0.616,0.8466666666666667,0.28400000000000003,0.243,0.16,0.125,1.86
Malawi,Africa,Sub-Saharan Africa,MWI,3.392,0.614,0.4593333333333333,0.27266666666666667,0.5793333333333334,0.12966666666666668,0.13366666666666668,1.2033333333333334
Malaysia,Asia,South-eastern Asia,MYS,5.980666666666667,1.6273333333333333,1.2043333333333333,0.457,0.8263333333333334,0.20966666666666667,0.11699999999999999,1.5393333333333334
Mali,Africa,Sub-Saharan Africa,MLI,4.258333333333334,0.7396666666666666,0.7443333333333334,0.23033333333333336,0.598,0.11133333333333333,0.08766666666666667,1.7466666666666668
Malta,Europe,Southern Europe,MLT,6.320666666666667,1.8093333333333332,1.5276666666666667,0.6970000000000001,0.745,0.22233333333333336,0.12766666666666668,1.1916666666666667
Mauritania,Africa,Sub-Saharan Africa,MRT,4.590333333333334,1.0666666666666667,0.7959999999999999,0.3866666666666667,0.37233333333333335,0.12533333333333332,0.19600000000000004,1.6483333333333334
Mauritius,Africa,Sub-Saharan Africa,MUS,5.8500000000000005,1.5526666666666669,1.4203333333333334,0.48100000000000004,0.6586666666666666,0.11299999999999999,0.11933333333333333,1.5053333333333334
Mexico,Americas,Latin America and the Caribbean,MEX,6.662333333333334,1.502,1.3046666666666666,0.49433333333333335,0.7443333333333334,0.07633333333333332,0.12,2.421333333333333
Moldova,Europe,Eastern Europe,MDA,5.8180000000000005,1.3806666666666667,1.3363333333333334,0.44366666666666665,0.7116666666666666,0.07466666666666666,0.033666666666666664,1.8373333333333335
Mongolia,Asia,Eastern Asia,MNG,5.789666666666666,1.3559999999999999,1.5786666666666667,0.35566666666666663,0.5183333333333333,0.21866666666666665,0.05533333333333334,1.7073333333333334
Montenegro,Europe,Southern Europe,MNE,5.768666666666667,1.5383333333333333,1.418,0.543,0.6543333333333333,0.11833333333333333,0.11033333333333334,1.386
Morocco,Africa,Northern Africa,MAR,4.773333333333333,1.196,0.547,0.4723333333333333,0.6396666666666667,0.028666666666666663,0.08733333333333333,1.8023333333333333
Mozambique,Africa,Sub-Saharan Africa,MOZ,5.12,0.5630000000000001,0.9663333333333334,0.09333333333333334,0.722,0.14866666666666667,0.18699999999999997,2.439
Myanmar,Asia,South-eastern Asia,MMR,4.349,0.995,1.0856666666666666,0.38366666666666666,0.49300000000000005,0.37433333333333335,0.17700000000000002,0.8410000000000001
Namibia,Africa,Sub-Saharan Africa,NAM,4.791333333333333,1.2456666666666667,1.2733333333333332,0.18533333333333332,0.47233333333333327,0.06333333333333334,0.06266666666666666,1.4883333333333333
Nepal,Asia,Southern Asia,NPL,5.2763333333333335,0.9626666666666667,1.0756666666666665,0.39566666666666667,0.6613333333333333,0.19299999999999998,0.106,1.882
Netherlands,Europe,Western Europe,NLD,7.342666666666666,1.8883333333333334,1.539,0.6983333333333333,0.7523333333333334,0.22799999999999998,0.36999999999999994,1.8663333333333334
New Zealand,Oceania,Australia and New Zealand,NZL,7.034666666666666,1.7833333333333332,1.5943333333333332,0.6669999999999999,0.7596666666666666,0.20766666666666667,0.45999999999999996,1.563
Nicaragua,Americas,Latin America and the Caribbean,NIC,6.291,1.0966666666666667,1.3416666666666668,0.5243333333333333,0.7883333333333334,0.128,0.24666666666666667,2.165
Niger,Africa,Sub-Saharan Africa,NER,4.594,0.58,0.7003333333333334,0.2293333333333333,0.638,0.14033333333333334,0.14133333333333334,2.1653333333333333
Nigeria,Africa,Sub-Saharan Africa,NGA,4.915666666666667,1.032,1.109,0.24266666666666667,0.551,0.18233333333333335,0.02,1.7786666666666668
Norway,Europe,Northern Europe,NOR,7.292999999999999,1.9493333333333334,1.583,0.7036666666666666,0.8496666666666667,0.20133333333333334,0.4573333333333333,1.5486666666666666
Pakistan,Asia,Southern Asia,PAK,4.66,1.0439999999999998,0.672,0.2986666666666667,0.5273333333333333,0.14033333333333334,0.074,1.904
Panama,Americas,Latin America and the Caribbean,PAN,6.343333333333334,1.67,1.4646666666666668,0.6083333333333333,0.742,0.05633333333333334,0.04033333333333333,1.7619999999999998
Paraguay,Americas,Latin America and the Caribbean,PRY,5.9623333333333335,1.3849999999999998,1.4833333333333334,0.4106666666666667,0.7956666666666666,0.12533333333333332,0.06333333333333334,1.6993333333333334
Peru,Americas,Latin America and the Caribbean,PER,5.771333333333334,1.3613333333333333,1.2323333333333333,0.5706666666666668,0.6246666666666667,0.067,0.025666666666666667,1.8903333333333334
Philippines,Asia,South-eastern Asia,PHL,5.892666666666667,1.2156666666666667,1.213,0.3473333333333333,0.8353333333333333,0.09266666666666667,0.129,2.0589999999999997
Poland,Europe,Eastern Europe,POL,6.458333333333333,1.7236666666666665,1.4953333333333332,0.582,0.6336666666666667,0.074,0.161,1.7883333333333333
Portugal,Europe,Southern Europe,PRT,6.003666666666667,1.7106666666666666,1.4280000000000002,0.6859999999999999,0.7763333333333332,0.03933333333333333,0.035333333333333335,1.3283333333333334
Republic of the Congo,Africa,Sub-Saharan Africa,COG,5.172666666666667,0.9453333333333332,0.6943333333333334,0.26233333333333336,0.5376666666666666,0.11333333333333334,0.13333333333333333,2.486333333333333
